"LEM_ADAMSS"

"Time      "	".JOINT_38.Element_Force.X"	".JOINT_38.Element_Force.Y"
1.885973e+00	-4.974962e+02	7.422282e+02
1.890000e+00	-5.048709e+02	7.329840e+02
1.900000e+00	-5.801715e+02	7.333413e+02
1.910000e+00	-4.665798e+02	7.489855e+02
1.920000e+00	-5.028635e+02	7.442049e+02
1.923489e+00	-5.101100e+02	7.514837e+02
1.930000e+00	-5.408729e+02	7.444285e+02
1.940000e+00	-5.275025e+02	7.449146e+02
1.950000e+00	-5.464667e+02	7.478093e+02
1.957152e+00	-5.371493e+02	7.511366e+02
1.960000e+00	-5.494869e+02	7.554375e+02
1.970000e+00	-5.361700e+02	7.562858e+02
1.973520e+00	-5.640203e+02	7.573949e+02
1.980000e+00	-5.284072e+02	7.551548e+02
1.990000e+00	-5.501482e+02	7.619063e+02
2.000000e+00	-5.540286e+02	7.639521e+02
2.010000e+00	-5.530511e+02	7.627850e+02
2.020000e+00	-5.587352e+02	7.633918e+02
2.027359e+00	-5.562925e+02	7.649853e+02
2.030000e+00	-5.639799e+02	7.683017e+02
2.040000e+00	-5.732812e+02	7.633966e+02
2.044086e+00	-5.460527e+02	7.730250e+02
2.050000e+00	-5.648235e+02	7.663560e+02
2.060000e+00	-5.708995e+02	7.709373e+02
2.068733e+00	-5.672914e+02	7.716759e+02
2.070000e+00	-5.779492e+02	7.743515e+02
2.074528e+00	-5.782828e+02	7.729288e+02
2.080000e+00	-5.478094e+02	7.853435e+02
2.088988e+00	-5.902904e+02	7.744125e+02
2.090000e+00	-5.892019e+02	7.779235e+02
2.097476e+00	-5.808118e+02	7.871603e+02
2.100000e+00	-5.700138e+02	7.794358e+02
2.110000e+00	-5.815388e+02	7.820480e+02
2.120000e+00	-5.722766e+02	7.866695e+02
2.127336e+00	-5.959213e+02	7.838367e+02
2.130000e+00	-5.881086e+02	7.865512e+02
2.140000e+00	-5.803738e+02	7.894676e+02
2.150000e+00	-5.774609e+02	7.881015e+02
2.156508e+00	-5.973987e+02	7.935094e+02
2.160000e+00	-5.948417e+02	7.929307e+02
2.170000e+00	-5.959614e+02	7.886216e+02
2.180000e+00	-5.990488e+02	7.946034e+02
2.188801e+00	-5.992476e+02	7.951992e+02
2.190000e+00	-6.076938e+02	7.970519e+02
2.200000e+00	-6.039233e+02	8.006166e+02
2.208965e+00	-6.081421e+02	8.060271e+02
2.210000e+00	-6.071529e+02	8.012291e+02
2.220000e+00	-6.156526e+02	8.062609e+02
2.225476e+00	-5.885133e+02	8.054961e+02
2.230000e+00	-6.142149e+02	8.044816e+02
2.235431e+00	-6.106167e+02	8.085995e+02
2.240000e+00	-6.151515e+02	8.128676e+02
2.250000e+00	-6.101908e+02	8.131967e+02
2.256730e+00	-6.528894e+02	8.087270e+02
2.260000e+00	-6.346142e+02	8.139826e+02
2.264058e+00	-6.093421e+02	8.120086e+02
2.270000e+00	-6.162993e+02	8.108164e+02
2.280000e+00	-6.247415e+02	8.150960e+02
2.290000e+00	-6.395703e+02	8.208915e+02
2.300000e+00	-6.318689e+02	8.186926e+02
2.306003e+00	-6.301323e+02	8.178017e+02
2.310000e+00	-6.354408e+02	8.178105e+02
2.320000e+00	-6.496043e+02	8.156808e+02
2.329047e+00	-6.488844e+02	8.230391e+02
2.330000e+00	-6.431795e+02	8.249369e+02
2.340000e+00	-6.675528e+02	8.205651e+02
2.350000e+00	-6.502618e+02	8.320166e+02
2.355271e+00	-6.320845e+02	8.339692e+02
2.360000e+00	-6.450459e+02	8.293474e+02
2.370000e+00	-6.524614e+02	8.317001e+02
2.380000e+00	-6.454418e+02	8.335589e+02
2.388907e+00	-6.551325e+02	8.401719e+02
2.390000e+00	-6.570164e+02	8.351484e+02
2.398021e+00	-6.739023e+02	8.355192e+02
2.400000e+00	-6.648222e+02	8.373876e+02
2.410000e+00	-6.805878e+02	8.444080e+02
2.419194e+00	-6.327390e+02	8.417352e+02
2.420000e+00	-6.512720e+02	8.378623e+02
2.426396e+00	-6.795183e+02	8.412555e+02
2.430000e+00	-6.703045e+02	8.425052e+02
2.435798e+00	-6.605883e+02	8.454406e+02
2.440000e+00	-6.734008e+02	8.494623e+02
2.450000e+00	-6.647997e+02	8.451927e+02
2.460000e+00	-6.713524e+02	8.499504e+02
2.467965e+00	-6.916367e+02	8.503103e+02
2.470000e+00	-6.841205e+02	8.513309e+02
2.479052e+00	-6.988135e+02	8.509423e+02
2.480000e+00	-6.880802e+02	8.554087e+02
2.490000e+00	-6.762305e+02	8.553285e+02
2.494858e+00	-6.628337e+02	8.561275e+02
2.500000e+00	-6.661800e+02	8.542119e+02
2.510000e+00	-6.862297e+02	8.584678e+02
2.520000e+00	-6.929859e+02	8.610013e+02
2.525765e+00	-6.613495e+02	8.628041e+02
2.530000e+00	-6.919233e+02	8.645994e+02
2.534269e+00	-6.930364e+02	8.655408e+02
2.540000e+00	-6.765572e+02	8.600955e+02
2.550000e+00	-7.061799e+02	8.684988e+02
2.560000e+00	-7.093490e+02	8.651563e+02
2.567389e+00	-7.064784e+02	8.677994e+02
2.570000e+00	-7.184499e+02	8.715276e+02
2.580000e+00	-7.153493e+02	8.712353e+02
2.587707e+00	-7.111465e+02	8.712560e+02
2.590000e+00	-7.129623e+02	8.753408e+02
2.598137e+00	-7.011220e+02	8.765825e+02
2.600000e+00	-7.020910e+02	8.776115e+02
2.610000e+00	-7.180734e+02	8.802836e+02
2.612717e+00	-7.298912e+02	8.775348e+02
2.619163e+00	-6.934359e+02	8.802198e+02
2.620000e+00	-7.067114e+02	8.778382e+02
2.630000e+00	-7.114094e+02	8.844291e+02
2.638962e+00	-7.166718e+02	8.825149e+02
2.640000e+00	-7.179651e+02	8.827267e+02
2.649034e+00	-7.191904e+02	8.858086e+02
2.650000e+00	-7.234470e+02	8.853846e+02
2.660000e+00	-7.240209e+02	8.883024e+02
2.667124e+00	-7.312195e+02	8.882409e+02
2.670000e+00	-7.435346e+02	8.922147e+02
2.679199e+00	-7.048314e+02	8.920222e+02
2.680000e+00	-7.191627e+02	8.892400e+02
2.690000e+00	-7.118929e+02	8.933775e+02
2.694275e+00	-7.397556e+02	8.963797e+02
2.700000e+00	-7.148781e+02	8.913367e+02
2.709193e+00	-7.643145e+02	8.959612e+02
2.710000e+00	-7.524388e+02	8.984845e+02
2.718940e+00	-7.140880e+02	8.973158e+02
2.720000e+00	-7.344980e+02	8.974066e+02
2.730000e+00	-7.331230e+02	9.035512e+02
2.735029e+00	-7.634781e+02	9.020166e+02
2.740000e+00	-7.268329e+02	9.016001e+02
2.750000e+00	-7.610244e+02	9.099860e+02
2.759162e+00	-7.267217e+02	9.069474e+02
2.760000e+00	-7.423225e+02	9.044995e+02
2.770000e+00	-7.340282e+02	9.058455e+02
2.778323e+00	-7.648780e+02	9.108937e+02
2.780000e+00	-7.586289e+02	9.077677e+02
2.790000e+00	-7.822734e+02	9.178392e+02
2.792680e+00	-7.779559e+02	9.100823e+02
2.800000e+00	-7.453919e+02	9.142288e+02
2.810000e+00	-7.892945e+02	9.204820e+02
2.820000e+00	-8.298210e+02	9.089461e+02
2.825053e+00	-7.223815e+02	9.154947e+02
2.830000e+00	-7.646989e+02	9.167377e+02
2.835846e+00	-7.973512e+02	9.189178e+02
2.840000e+00	-7.842627e+02	9.205591e+02
2.847302e+00	-7.880791e+02	9.233749e+02
2.850000e+00	-7.913844e+02	9.255899e+02
2.858723e+00	-7.966487e+02	9.220430e+02
2.860000e+00	-7.898880e+02	9.261943e+02
2.870000e+00	-7.699147e+02	9.246840e+02
2.874275e+00	-7.981747e+02	9.275987e+02
2.880000e+00	-7.911267e+02	9.264646e+02
2.886658e+00	-8.085955e+02	9.301697e+02
2.890000e+00	-7.894224e+02	9.310324e+02
2.898277e+00	-8.022326e+02	9.333465e+02
2.900000e+00	-8.081843e+02	9.300744e+02
2.910000e+00	-7.902990e+02	9.326202e+02
2.920000e+00	-7.916806e+02	9.381151e+02
2.930000e+00	-8.164714e+02	9.429650e+02
2.940000e+00	-7.758817e+02	9.360163e+02
2.950000e+00	-8.276701e+02	9.489375e+02
2.959011e+00	-8.104714e+02	9.458587e+02
2.960000e+00	-8.091450e+02	9.456118e+02
2.970000e+00	-8.237670e+02	9.461452e+02
2.977696e+00	-7.976130e+02	9.487564e+02
2.980000e+00	-8.016465e+02	9.483701e+02
2.990000e+00	-8.254851e+02	9.495209e+02
3.000000e+00	-8.336354e+02	9.545018e+02
3.010000e+00	-8.050351e+02	9.537527e+02
3.015821e+00	-7.872868e+02	9.567406e+02
3.020000e+00	-8.294805e+02	9.572830e+02
3.030000e+00	-8.506297e+02	9.558871e+02
3.034566e+00	-7.890692e+02	9.602000e+02
3.040000e+00	-8.299990e+02	9.624139e+02
3.050000e+00	-8.090992e+02	9.586303e+02
3.060000e+00	-8.377496e+02	9.622862e+02
3.069144e+00	-8.780230e+02	9.618837e+02
3.070000e+00	-8.583817e+02	9.674556e+02
3.079112e+00	-7.901722e+02	9.670420e+02
3.080000e+00	-8.207912e+02	9.644601e+02
3.090000e+00	-8.362422e+02	9.712680e+02
3.098912e+00	-8.378133e+02	9.738523e+02
3.100000e+00	-8.396400e+02	9.733622e+02
3.108973e+00	-8.564295e+02	9.732337e+02
3.110000e+00	-8.494397e+02	9.734657e+02
3.120000e+00	-8.458851e+02	9.742051e+02
3.130000e+00	-8.428775e+02	9.806744e+02
3.140000e+00	-8.401025e+02	9.782144e+02
3.150000e+00	-8.184287e+02	9.772131e+02
3.153109e+00	-8.302705e+02	9.876544e+02
3.160000e+00	-8.836710e+02	9.779725e+02
3.163421e+00	-7.713390e+02	9.811564e+02
3.170000e+00	-8.450716e+02	9.778680e+02
3.180000e+00	-9.175548e+02	9.956191e+02
3.190000e+00	-8.640387e+02	9.852831e+02
3.200000e+00	-8.749864e+02	9.906107e+02
3.210000e+00	-8.724838e+02	9.952357e+02
3.215936e+00	-8.401530e+02	9.944019e+02
3.220000e+00	-8.715231e+02	9.952776e+02
3.230000e+00	-8.694532e+02	9.957292e+02
3.240000e+00	-8.940874e+02	9.971889e+02
3.250000e+00	-9.066459e+02	1.002886e+03
3.258745e+00	-8.629979e+02	1.002982e+03
3.260000e+00	-8.810754e+02	1.000514e+03
3.270000e+00	-8.722466e+02	9.985876e+02
3.280000e+00	-8.939574e+02	1.002528e+03
3.290000e+00	-8.867053e+02	1.009635e+03
3.300000e+00	-9.172626e+02	1.014487e+03
3.310000e+00	-8.908653e+02	1.014397e+03
3.320000e+00	-9.089116e+02	1.012152e+03
3.330000e+00	-9.262764e+02	1.018280e+03
3.338885e+00	-9.257609e+02	1.016381e+03
3.340000e+00	-9.144120e+02	1.016175e+03
3.350000e+00	-9.362139e+02	1.022025e+03
3.358714e+00	-9.274570e+02	1.020565e+03
3.360000e+00	-9.143545e+02	1.019359e+03
3.370000e+00	-8.980188e+02	1.019659e+03
3.380000e+00	-9.369871e+02	1.021451e+03
3.390000e+00	-8.905473e+02	1.021480e+03
3.400000e+00	-9.406951e+02	1.029671e+03
3.405063e+00	-8.798442e+02	1.028065e+03
3.410000e+00	-9.194413e+02	1.029810e+03
3.420000e+00	-9.245582e+02	1.031186e+03
3.429032e+00	-8.862289e+02	1.035088e+03
3.430000e+00	-9.200417e+02	1.031243e+03
3.433646e+00	-9.415717e+02	1.034851e+03
3.440000e+00	-9.246247e+02	1.035550e+03
3.450000e+00	-9.321805e+02	1.038253e+03
3.460000e+00	-9.544869e+02	1.036696e+03
3.470000e+00	-9.261961e+02	1.040769e+03
3.480000e+00	-9.483377e+02	1.044230e+03
3.490000e+00	-9.576959e+02	1.042666e+03
3.498229e+00	-9.701674e+02	1.047712e+03
3.500000e+00	-9.702011e+02	1.044431e+03
3.510000e+00	-9.218688e+02	1.043786e+03
3.514254e+00	-9.577699e+02	1.048759e+03
3.520000e+00	-9.248504e+02	1.043128e+03
3.530000e+00	-9.767656e+02	1.055386e+03
3.540000e+00	-9.467262e+02	1.051551e+03
3.550000e+00	-9.576642e+02	1.057274e+03
3.560000e+00	-9.214678e+02	1.051545e+03
3.570000e+00	-1.019024e+03	1.063982e+03
3.578657e+00	-1.003037e+03	1.061287e+03
3.580000e+00	-9.787369e+02	1.063536e+03
3.590000e+00	-9.617693e+02	1.062698e+03
3.596564e+00	-9.672337e+02	1.067007e+03
3.600000e+00	-9.682151e+02	1.066403e+03
3.610000e+00	-1.013237e+03	1.076405e+03
3.612515e+00	-9.882177e+02	1.067663e+03
3.620000e+00	-9.634341e+02	1.069164e+03
3.630000e+00	-1.017686e+03	1.070416e+03
3.640000e+00	-1.010103e+03	1.077539e+03
3.644502e+00	-9.577459e+02	1.075854e+03
3.650000e+00	-9.812082e+02	1.074510e+03
3.660000e+00	-9.724511e+02	1.075469e+03
3.670000e+00	-9.984606e+02	1.077372e+03
3.680000e+00	-9.957841e+02	1.081447e+03
3.690000e+00	-9.488069e+02	1.079521e+03
3.700000e+00	-9.594429e+02	1.078782e+03
3.710000e+00	-9.777530e+02	1.080294e+03
3.720000e+00	-1.073821e+03	1.091642e+03
3.730000e+00	-1.047152e+03	1.098888e+03
3.738545e+00	-1.026364e+03	1.091579e+03
3.740000e+00	-1.010975e+03	1.091400e+03
3.750000e+00	-9.819996e+02	1.095947e+03
3.759079e+00	-1.073258e+03	1.096197e+03
3.760000e+00	-1.042184e+03	1.098001e+03
3.768487e+00	-9.838778e+02	1.095774e+03
3.770000e+00	-1.032419e+03	1.103064e+03
3.780000e+00	-1.094854e+03	1.098153e+03
3.785159e+00	-9.539579e+02	1.101850e+03
3.790000e+00	-9.763225e+02	1.102953e+03
3.800000e+00	-9.901238e+02	1.104878e+03
3.810000e+00	-1.147621e+03	1.101877e+03
3.820000e+00	-1.011168e+03	1.110232e+03
3.828967e+00	-1.052554e+03	1.109778e+03
3.830000e+00	-1.038960e+03	1.109861e+03
3.840000e+00	-9.898368e+02	1.103653e+03
3.842519e+00	-1.015239e+03	1.111709e+03
3.850000e+00	-1.059825e+03	1.114961e+03
3.860000e+00	-1.023609e+03	1.114753e+03
3.870000e+00	-1.047010e+03	1.117251e+03
