"LEM_ADAMSS"

"Time      "	".rama_wahacz_L.Element_Force.X"	".rama_wahacz_L.Element_Force.Y"	".link_wahacz.Element_Force.X"	".link_wahacz.Element_Force.Y"	".kolo_tyl_wahacz.Element_Force.X"	".kolo_tyl_wahacz.Element_Force.Y"
2.160000e+00	-6.383766e+02	-5.223479e+01	1.303100e+03	4.385942e+02	2.822500e+01	3.732739e+02
2.175000e+00	-6.827307e+02	-4.329473e+01	1.284625e+03	4.323715e+02	-7.823875e+01	3.807494e+02
2.190000e+00	-6.497684e+02	-5.244029e+01	1.304314e+03	4.391390e+02	5.770255e+00	3.794781e+02
2.205000e+00	-6.452139e+02	-5.413800e+01	1.315012e+03	4.427256e+02	2.561536e+01	3.797358e+02
2.213088e+00	-6.603078e+02	-4.876884e+01	1.297837e+03	4.368560e+02	-2.082859e+01	3.784995e+02
2.220000e+00	-6.516972e+02	-5.258898e+01	1.312837e+03	4.419593e+02	1.074732e+01	3.803735e+02
2.235000e+00	-6.635494e+02	-4.877764e+01	1.298207e+03	4.370269e+02	-2.718160e+01	3.802019e+02
2.247068e+00	-6.409625e+02	-5.466952e+01	1.305410e+03	4.395670e+02	2.387639e+01	3.789815e+02
2.250000e+00	-6.494569e+02	-5.163975e+01	1.301881e+03	4.382758e+02	4.305705e+00	3.779487e+02
2.265000e+00	-6.725151e+02	-4.584979e+01	1.288471e+03	4.337233e+02	-5.443613e+01	3.799417e+02
2.278919e+00	-6.521029e+02	-5.176246e+01	1.299556e+03	4.375510e+02	-3.749820e+00	3.796752e+02
2.280000e+00	-6.545758e+02	-5.063330e+01	1.298744e+03	4.372286e+02	-9.067567e+00	3.789042e+02
2.292398e+00	-6.688527e+02	-4.651186e+01	1.302351e+03	4.382646e+02	-3.241585e+01	3.785757e+02
2.295000e+00	-6.575016e+02	-5.074358e+01	1.302706e+03	4.385825e+02	-1.099006e+01	3.804520e+02
2.310000e+00	-6.571927e+02	-4.958641e+01	1.299708e+03	4.375117e+02	-1.285570e+01	3.783040e+02
2.325000e+00	-6.473732e+02	-5.168869e+01	1.304158e+03	4.390192e+02	1.101512e+01	3.768728e+02
2.340000e+00	-6.510627e+02	-5.474387e+01	1.327739e+03	4.469951e+02	2.664286e+01	3.833435e+02
2.355000e+00	-6.810773e+02	-4.140561e+01	1.283463e+03	4.318276e+02	-7.490740e+01	3.764478e+02
2.370000e+00	-6.616392e+02	-5.071973e+01	1.299164e+03	4.374448e+02	-2.338393e+01	3.827903e+02
2.385000e+00	-6.556185e+02	-5.051969e+01	1.302160e+03	4.383622e+02	-7.531390e+00	3.790899e+02
2.400000e+00	-6.604994e+02	-4.955859e+01	1.303710e+03	4.388497e+02	-1.543372e+01	3.797727e+02
2.415000e+00	-6.503537e+02	-5.236395e+01	1.305848e+03	4.396407e+02	6.229075e+00	3.795768e+02
2.430000e+00	-6.476841e+02	-5.269081e+01	1.305734e+03	4.395935e+02	1.146544e+01	3.787816e+02
2.439333e+00	-6.643655e+02	-4.796815e+01	1.301150e+03	4.379323e+02	-2.526060e+01	3.790010e+02
2.445000e+00	-6.465307e+02	-5.415187e+01	1.319484e+03	4.441891e+02	2.762591e+01	3.802535e+02
2.460000e+00	-6.643089e+02	-4.675690e+01	1.288957e+03	4.338447e+02	-3.740771e+01	3.773001e+02
2.472695e+00	-6.620321e+02	-4.936890e+01	1.307618e+03	4.401352e+02	-1.434581e+01	3.800478e+02
2.475000e+00	-6.549595e+02	-5.105946e+01	1.305941e+03	4.396309e+02	-2.461842e+00	3.795727e+02
2.490000e+00	-6.555562e+02	-5.060967e+01	1.295283e+03	4.360934e+02	-1.479615e+01	3.795608e+02
2.505000e+00	-6.590271e+02	-4.840242e+01	1.291248e+03	4.346697e+02	-2.497134e+01	3.774669e+02
2.520000e+00	-6.475349e+02	-5.333709e+01	1.307469e+03	4.402179e+02	1.323837e+01	3.798159e+02
2.535000e+00	-6.598284e+02	-4.959607e+01	1.303442e+03	4.387605e+02	-1.434769e+01	3.795048e+02
2.550000e+00	-6.517708e+02	-5.220076e+01	1.307281e+03	4.401151e+02	4.906180e+00	3.799537e+02
2.562665e+00	-6.782004e+02	-4.525312e+01	1.310256e+03	4.408367e+02	-4.269868e+01	3.808142e+02
2.565000e+00	-6.572312e+02	-5.050521e+01	1.296012e+03	4.363422e+02	-1.741870e+01	3.801795e+02
